"","Id","Action"
"1",1,2.68068611343027
"2",2,2.75084796417947
"3",3,2.84284134534439
"4",4,2.78883111161387
"5",5,2.81721670985741
"6",6,2.89718226844885
"7",7,2.71968356981665
"8",8,2.86371336110486
"9",9,2.62302766625445
"10",10,2.7717519218102
"11",11,2.76803191568259
"12",12,2.75029772007827
"13",13,2.73573003471316
"14",14,2.7840779706277
"15",15,2.8378507969196
"16",16,2.77583076263775
"17",17,2.71556315362058
"18",18,2.7708162547946
"19",19,2.7823505176156
"20",20,2.44403720597019
"21",21,2.77937954214626
"22",22,3.01133464463267
"23",23,2.84063046773144
"24",24,2.76398176683981
"25",25,2.83178177280349
"26",26,3.46917794138658
"27",27,2.66722894596313
"28",28,2.74040323031206
"29",29,2.74346075736391
"30",30,2.7220616756218
"31",31,2.76183561812935
"32",32,2.87698421387506
"33",33,2.77606451459024
"34",34,2.73726379723478
"35",35,2.74995821323123
"36",36,2.75297885734615
"37",37,2.85892602292901
"38",38,2.9777329619114
"39",39,2.68626502810466
"40",40,2.73167111682164
"41",41,2.61206249084968
"42",42,2.89873448733841
"43",43,2.70481195895788
"44",44,2.79722010675356
"45",45,2.77011107889716
"46",46,3.00419556657008
"47",47,2.79595412207799
"48",48,2.70393002732609
"49",49,2.77751817926825
"50",50,2.15455478342826
"51",51,2.91019645989397
"52",52,2.76335285534429
"53",53,2.76655247685529
"54",54,2.67740864979867
"55",55,2.74178320254297
"56",56,2.78125795965135
"57",57,2.83152773596993
"58",58,2.75804437045922
"59",59,2.70603647800685
"60",60,2.76019932152291
"61",61,2.76301892663121
"62",62,2.76123144211064
"63",63,2.70510668781186
"64",64,2.83322112699014
"65",65,2.82990075685368
"66",66,3.01097364024986
"67",67,2.19487610441039
"68",68,2.81647092514147
"69",69,2.76900104805942
"70",70,2.80161121737966
"71",71,2.5477156061214
"72",72,2.79355009698098
"73",73,2.75592202589888
"74",74,2.75078640721484
"75",75,2.76728244235244
"76",76,2.94003632781216
"77",77,2.82624772855007
"78",78,2.77665429969656
"79",79,2.80959694795471
"80",80,2.91863024779504
"81",81,2.82957363832628
"82",82,2.76804488400502
"83",83,2.94305709459795
"84",84,2.75110959797914
"85",85,2.75349597830243
"86",86,2.69787763463503
"87",87,2.76311295151462
"88",88,2.82682414913293
"89",89,2.81389792691065
"90",90,2.83947696857688
"91",91,2.8581692700153
"92",92,2.70816231610211
"93",93,2.85000184304483
"94",94,2.77187264437746
"95",95,2.82145272702176
"96",96,2.72394158372257
